query_id,query_row,item_id,item_row,rank,попал,нашёлся,слов в запросе,пустой фильтр,"расстояние, км",близнецов по заголовку,покрытие заголовка
572ae01186eae17d,1002,60afc1cda294dc68,20163,0,True,True,3,True,4.6118999191254595,5.0,0.3333333333333333
cb77cf04eb49bf24,1003,d140d72be98adeb8,182747,0,True,True,2,True,0.000135657810703238,32.0,1.0
877331d244c88270,1004,7a7e53f268d99aac,115596,14,True,True,4,True,204.44322818426568,1.0,0.6666666666666666
153d766ea4af0b55,1005,88dbe7a777bc05e2,1326,0,True,True,3,True,0.1406865734959416,1.0,0.0
13862fdd8723f8eb,1006,4e96293eb47d08ff,26832,0,True,True,2,True,5.1837939270752145,1.0,0.5
65596e81f6503ed6,1007,728529b51a8e2e1a,172733,44,True,True,2,False,10.824430904906297,1.0,0.0
8429433ad9918ad4,1008,eedf6034a55ea802,133719,1,True,True,4,True,2.439974579221768,101.0,0.3333333333333333
44bfd501e12ed24d,1009,f69ad77f9569596a,96312,31,True,True,4,True,15.51102541495044,1.0,0.3333333333333333
44bfd501e12ed24d,1009,870ce61d4ddaefa4,164693,12,True,True,4,True,0.5234915428573665,1.0,0.6666666666666666
44bfd501e12ed24d,1009,57ef1a9ef580873f,70245,1,True,True,4,True,0.5350264329831802,2.0,0.6666666666666666
44bfd501e12ed24d,1009,2263590e63793121,176969,7,True,True,4,True,11.248298652777075,11.0,0.6666666666666666
154f8555de1fe39b,1010,4a9b2a8e9a761ad3,67700,1,True,True,2,True,3.0190897472907627,1.0,0.5
cdbee6966145a509,1011,17093538e3a9acd4,43466,0,True,True,5,True,2.004217486562137,6.0,0.75
e96bb567c9c8b74c,1012,fbbc58e4a84d7ac7,63569,11,True,True,4,True,11.76003607946206,1.0,0.6666666666666666
47ba70db1326766f,1013,60224c76f580d303,22939,1,True,True,5,True,9.283482268326996,1.0,0.25
8d18e1802ec016a0,1014,f57e40f14b09cb81,56839,0,True,True,2,False,1.5875460215895385,53.0,1.0
32dd2cb986326ee1,1015,9bb581af2c3c57b9,60048,42,True,True,5,True,3244.0013099749813,1.0,0.0
66bac5703f4caafb,1016,35004109346d4a6e,160663,0,True,True,3,True,5.770547393918189,5.0,0.6666666666666666
aaf23bf982ce9189,1017,6f705f3276da740d,153365,1,True,True,2,True,1.1871860520018271,1.0,0.0
a95c18dad57f9135,1018,1a6725a5b5519ff5,115162,3,True,True,3,False,3.418740577581252,14.0,0.6666666666666666
78646ced9ff38aea,1019,29280c8b1497ffa0,29869,14,True,True,3,True,21.404217706372055,4.0,0.0
7c0ee8c53e5b05a6,1020,7064a6794038ef69,109273,0,True,True,4,True,9.449752213222702,269.0,1.0
6659b7d9bf83478a,1021,06679b2c783e6094,87857,25,True,True,2,True,42.98901702120377,72.0,1.0
9da5902ac4d37ce6,1022,577dfe73d06e5e9d,70644,0,True,True,2,False,3.527821937403974,3.0,1.0
8209e65e3136e719,1023,5c0d6a9b45da0e02,70988,52,False,True,3,True,13.766040017650083,7.0,0.3333333333333333
87738fe01d7f9d18,1024,b3a1b73cfca4784f,88968,12,True,True,3,True,1.8015427169423952,708.0,0.5
